查询关键字,数据年份,发表日期,全部单位名称,作者名称,论文名称,来源期刊,刊次,分类号,页码,链接
淮南子“和、缪”及相关问题再探,2020,2020.08.27,,刘勇,《淮南子》“和、缪”及相关问题再探,中央音乐学院学报 ,No.03,J609.2,[118-125],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4keNkAyA_ghEdsQ5_G-dwsCQqghMJFAZIT_LH4v7rcUlayqgCKqTlUkxYpgCZrFGWn9DaLeWQE3fkcyj6zR3WsfDn7CiPJuwNaul3N5Ylz8vfsMtnGrnnu53V3hpQ4uwSjWIrlequglHN_RbT3qAX2OgBxJ9KH23poz_ySm32_NlLg==&uniplatform=NZKPT&language=CHS
1944—1945年歌星音乐会在上海兴起的过程与缘由探析,2022,2022.12.10,1.上海音乐学院;2.安徽师范大学音乐学院,留生,1944—1945年歌星音乐会在上海兴起的过程与缘由探析,音乐艺术(上海音乐学院学报) ,No.03,K265;J609.2,[145-157+5],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4ken5zRSaqgSnJGwXFtKv-Oo3ELaW1RTOwddJaM5JIgGLg2UlQKEhssZmQssf2O7DdfjVM9oFKBUlaOe-yQxgC4vpCL6f8_ajzA4Rn6633YDrEb__oJrWVflyq3V8eQv-U4lpmsin93X_0M6tHDDpgDE-H9ldQppsrVZaFIWnDbKtQ==&uniplatform=NZKPT&language=CHS
黄翔鹏若干乐律学问题的研究心路探究,2020,2020.11.26,1.安徽师范大学音乐学院;2.中国音乐学院音乐学系;3.中国音乐史学会;4.中国图像学会;5.中国传统音乐学会;6.中国少数民族音乐学会,刘勇,黄翔鹏若干乐律学问题的研究心路探究,中国音乐 ,No.06,J612.1,[86-96+193],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcWznMS1MOl0faLGZ28kY6p5ZGP1um1B4foZq6A6iTM1rttTf-7J4KiUlSYUrKTnMxgmCfvI_TxdGWkdu-CjHkVv6woxeS5ZoA_1WqARGVkFgbKduuQKeZU3bLhg8PpL6YqzWskbSdbxvyGsUjjG2u66VXJyCJf9-ijzNT-TU0aAg==&uniplatform=NZKPT&language=CHS
大锅记忆(油画),2022,2022.03.15,安徽师范大学美术学院,杨涛,《大锅记忆》(油画),出版发行研究 ,No.01,J223,[114],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdvOnDHIw4FKl-ipIfQkEynjnWkAfJsZ3nPs2vjYP7TdtQ710Z95fjDP3vh2zMV0EtbAFg0yxiiwcdtQlEsSZGgD2e3Mja2gIKVxaxdu2zRm8wUK7faUvLwfMrzhlQ_szYLmPC2Ojgn5e6-6lGwx6q1GOy7cGbnPIPHaRiphlEcSA==&uniplatform=NZKPT&language=CHS
杨立青管弦乐配器语言探赜,2022,2022.12.12,1.安徽师范大学音乐学院;2.上海音乐学院作曲指挥系,任磊;尹明五,杨立青管弦乐配器语言探赜,音乐艺术(上海音乐学院学报) ,No.03,J614.4,[34-51+4],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4ke4n9nVGHV9n-Wma6ISLB2RXSsrK3qpkp4oaMQHOs5bxzRjlWbBPNA2AXKByRhgG_Om0P7Wf5ZShd7clnmh-7bjPekRK-EZLCFx4Mxxjt7Geax9gn5xTQqFiCqV6tHVPsmXrXyvG2ec0gVXmHywVQCrICslt2k1XjS9uLOVaKgCJQ==&uniplatform=NZKPT&language=CHS
72/144小时过境免签政策如何影响出口产品质量升级？——人员短期跨境流动的贸易效应分析,2025,2025.06.27,1.青岛理工大学商学院;2.青岛理工大学人文与外国语学院;3.中国海洋大学经济学院;4.自然资源部北海发展研究院,孙伟;胡彤;戴桂林;王素,72/144小时过境免签政策如何影响出口产品质量升级？——人员短期跨境流动的贸易效应分析,南方经济 ,No.06,F752;D631.46,[98-119],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdXdRxX7XfYrQ_44K9MvrSghBGXR4xKZqDF8YxGDflBI5hHrRqJCsOFboY8ty6Fmb8pTgyf_lQzqdWWOHEhKbRcQuSUYAV_FHpKfWN__onjoFJMHcbAA-lSGC5HnJ-SG_BMphoZSQPtv2SVPr0jAmQdvjdGneKJg1542BI8Ijhpdw==&uniplatform=NZKPT&language=CHS
境外人员流入与中国出口产品质量升级——基于72/144小时过境免签政策的准自然实验,2025,2025.04.01,1.青岛理工大学商学院;2.青岛理工大学人文与外国语学院;3.中国海洋大学经济学院,孙伟;胡彤;戴桂林,境外人员流入与中国出口产品质量升级——基于72/144小时过境免签政策的准自然实验,国际经贸探索 ,No.03,D631.46;F752.62,[40-57],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4ke3hiciPV3NXIF3L6XjwQ2f0TR0fNdZyeKLaBi7OxpCH_OhEBIYKt0n_pAwx05Em9RzRQwwdz9pFiIfI_P_oim803fkFSf23GLaeTqqK34Prvwh8aXD4c1reo-gRNOt1YDl7T99KRsatela2pJ_6HVy890An7bkeXRK593kFP3PrQ==&uniplatform=NZKPT&language=CHS
产业结构与土地的宏观传导机制：一个中美之间的比较,2020,2021.04.14,1.中央财经大学经济学院;2.北京大学光华管理学院,赵扶扬;周慧珺,产业结构与土地的宏观传导机制:一个中美之间的比较,金融评论 ,No.05,F121.3;F301.2,[14-34+124],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfu6dbm8o7TVtz1w1CaHoVzRwlEJpp1kYyYv1Ms9z4DEeaR5_G3pJPN2JrH8wN_iEPGKIt2MUwNLEXSd8nIrRnR0RYkID8CvRs96AHNq9YuCaO5KH60P4RZ9UDvNFnEh6jsraAFXjVD36byXfFvwM2cd0JgiQ3T5lDgClAOBTChNA==&uniplatform=NZKPT&language=CHS
腰痛与久坐行为关联性的研究进展,2020,2020.04.13,北京师范大学,魏梦娴;黄浩洁,腰痛与久坐行为关联性的研究进展,中国体育科技 ,No.03,R681.5,[32-41+74],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcEVIwByEwWX9IYsC2BPIZGRKSq5PK5ctkv-IjVuS7TqduK_YJ_Aq9AM5OaHliQo0rtosRiIrzhSxA8JagVDJjtdkfAQCjnhD-AKFDZe9QU6NOFKGHlJUAkouSs6M97lgOio7_0g3zfaOTiVVDfg55hQCxTKU-MAkpwYzDsvuFB7w==&uniplatform=NZKPT&language=CHS
担保人援引破产止息规则的依据与路径,2021,2022.01.20,海南大学法学院,陈永强;汪梦晗,担保人援引破产止息规则的依据与路径,江淮论坛 ,No.06,D922.291.92;D923.2,[110-116],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kenKJ3sHSgawIgMGrCralpnpomuV3Z_7InEDIP0RPKK83m79mDFvQw8w4XiVFQrEyBhzaKPkDx5uetbi9mlmtH1fPWwR6oNFY_lqSMZPAzsSVWSDlU9EfNduqC2KD58liVhptVBc1UTAHHmAfddfYXMJiDiGahkjIqihkG3atFPlg==&uniplatform=NZKPT&language=CHS
《骑楼印象》,2025,2025.07.10,华南农业大学,叶芷丹,《印象西关与二次创作》(组图) 平面设计,文学艺术周刊 ,No.12,J524,[97],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcSOawSUfaboqlbQaTA6YMmbcZNeH4Elm7lyhp_PNDGlfjo8r7td2Wn96sxOWm2R0MHVpGiUD3dvoyQ6iFrs3QHinYb7LCGozvTDyqGQ-5SIXwnF0MskaiANbNlRvGEt7jqiiT_D5G5CD54GUkUeaxXkvslDL6q6ulYaEzUBhJB6w==&uniplatform=NZKPT&language=CHS
基于定性比较分析的体育类短视频传播逻辑研究,查看该刊,2024.11.25,1.北京师范大学教育学部;2.清华大学体育学部,熊华夏;潘钰铮;乔冠中,基于定性比较分析的体育类短视频传播逻辑研究 网络首发,成都体育学院学报 ,,G206;G812,[未披露],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4keZKjLAgnPKWwq1o7wvTohmx2abNz2UceEY5idPJnxJyDHO51324U5rqMRgYHlot6AuhqET9jUOh03q8x5LL-8QjE5OGxNGpc_dhJjFFTzttFEhJqJdHJAkacvQDu7_i9hyi-cmRpczjRKsCzqOzDZxbzkzBGnalrko_WohC05OFw==&uniplatform=NZKPT&language=CHS
中国农村社会治理法治化面临的问题与应对策略,2022,2022.12.07,西北政法大学研究生院,程静,中国农村社会治理法治化面临的问题与应对策略,农业技术经济 ,No.11,D422.6;D920.0,[145],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdW8AanMO_TuecgvjAL3pIBCjgKljyAwx3OkX33-dJX4lfT4VR_phNbXr72g80sMQSQyi-4qbNHzMbaQHUAl7ekj_-3GhiO2R65QiciqKQXBTrONeptBolH5nBhCvphnbZfR-BAaLQ1xL428AFZwE5KivFdcFhIJQcbXDyg3b0u_A==&uniplatform=NZKPT&language=CHS
2022冬奥会背景下北京区域居民参与冰雪运动消费调查,2021,2022.01.13,1.北京师范大学体育与运动学院;2.首都体育学院管理与传播学院,胡良平;骆秉全;张晚萌,2022冬奥会背景下北京区域居民参与冰雪运动消费调查,地理科学 ,No.12,G86,[2117-2126],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kd4aMD7Dj-d8pAr9490Q31kBnWNofNfSYuNYFce-OFmpgcRKrX6edayHvveQW7VQqpywRff49_5IaKFCXpWtp_orwwlJrSLR3B2Y8uNj37m1CO9ES5NelvfNxKR2OlGTV6X7i1ClF8oUtXGdcD7cfxKzvBCiMDTc6nMecHYbWh1eQ==&uniplatform=NZKPT&language=CHS
红色交通线的影像史话---评革命历史题材电视剧《绝密使命》,2021,2021.07.19,1.海南大学人文传播学院;2.新疆农业大学,杨扬;朱帅,红色交通线的影像史话——评革命历史题材电视剧《绝密使命》,当代电视 ,No.07,J905,[33-35+82],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfp4mhfAfqaUSFOfzwVjcaWxRHRMYbT9SEiHObn1pi-oTbSEAEsdbUH77x5r5s-7wUzb9-G78U5CsLzwhyxwvvwexlF_FwnfUJiQNuJMkfJaYtOxGLwL-pAWwFRe4fV0vVSSkKLrqPvp-eVWsR54tfV_LShg55seeSuXLYrBTKsPg==&uniplatform=NZKPT&language=CHS
中小企业发展与银行结构——基于进出口经营权改革的经验研究,2024,2025.04.01,1.中央财经大学经济学院;2.北京大学新结构经济学研究院;3.深圳市福田区发展研究中心,夏俊杰;邓尚沅;徐铭梽,中小企业发展与银行结构——基于进出口经营权改革的经验研究,金融研究 ,No.11,F276.3;F752.6;F832,[76-93],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcePtXAjMycPd_TD-6sw5dtPayS76qHtz_MH3cUH0iZqEo5_3xxRaLTCvxohl171L7R8IPdn3ggjuQvERSb_H-iPH0qrRTG4rqh5LWx8wzEMUIor4bfBQj4wQm7zHd8_IYl1qV4Nf-0VJmGx2sa2zAevRwoIfFW-LcXGwVh-LhDyA==&uniplatform=NZKPT&language=CHS
重塑“团结”：易地扶贫搬迁社区治理的理论与路径研究,2022,2022.07.05,中南民族大学,刘占勇,重塑“团结”:易地扶贫搬迁社区治理的理论与路径研究,湖北民族大学学报(哲学社会科学版) ,No.04,F323.8;D669.3,[93-100],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdLkGaLOIbdhsFwblO2aHDlOC0TrrnM8YRXDw22Ro0xQND3WfqTTiDB8Zh5dCwolDtSg8rvojMG4cN3wZpihscTQZJzQJPEJgndkn0aCpbMfJl9WrQDvfvuwk-D_bemKWZxCihAvkXRKAvs6X8VNvOEM43StGqhtORHSCim-CgW1w==&uniplatform=NZKPT&language=CHS
数字文化产品为何流行？基于积极心理理论的大规模文本分析,2025,2023.12.02,1.北京师范大学经济与工商管理学院;2.北京师范大学统计学院;3.美国肯塔基大学经济管理学院;4.苏州叠纸网络科技股份有限公司市场部,龚诗阳;杨伟超;宋元明;汪婉芩,数字文化产品为何流行？基于积极心理理论的大规模文本分析,南开管理评论 ,No.01,G124;TP391.1;TP181;B842,[175-186],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kf6lgF81wOaL_m73MCU7JX4yGEf_3w_ZtrlS9X1Ewhnu6fEgfcviqf3boyllYFijCLJE6BJObVsRxT60dPgJaT2J2DvAn9EkJmsD3QnFwpUqqQ8LRg37DLju4TbngDrFlXFGLAJd655BTqhdKEsCWSH3SDTHvhkPtCs1GTQW0evjA==&uniplatform=NZKPT&language=CHS
货币政策分化与跨境银行资本流动的部门间配置——兼论官方部门的“缓冲器”作用,2024,2025.06.11,1.北京航空航天大学经济管理学院;2.中央财经大学金融学院;3.中央财经大学国际经济与贸易学院;4.北京师范大学统计学院,谭小芬;李子若;赵茜;卢冰,货币政策分化与跨境银行资本流动的部门间配置——兼论官方部门的“缓冲器”作用,金融研究 ,No.12,F821.0;F831.6,[1-19],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfN8hFI-nt0q8btpOXWEaYLwY0WeXORQyrlE6ebLS_9wUeU3sW75Rb3v0CwfwhK2nQUgsPBfSN-kvojN-dAHP1KN5Qnn3vt-JsBhShEA20kxsEINYoOhxs10vf9iZNKqfJXiT1Lsys0UcJ7YMnv_GOqUWY5o8xs5CXiLmJmYjfzVw==&uniplatform=NZKPT&language=CHS
人口变化、消费结构与低碳转型,2025,2024.11.19,1.北京大学国家发展研究院;2.北京大学中国经济研究中心;3.北京师范大学统计学院,雷晓燕;张春峰;李昕;赵波,人口变化、消费结构与低碳转型 增强出版,数量经济技术经济研究 ,No.01,F126.1;C924.2,[5-28],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4keCMBJ1Wy-vxU-63-qZ4Gcg7ewdun-9qoPiOH5opWuCBk2nqEv5n9x7RmzBleGT2RxnwoWb_CkFN4bBfl6jhvxEEsxrhCmeTn2XW5koIIkfAh3c-zFEaBhibJGvtAln_YPDpsATcO3_497d-3RIeN8Yz9b3tZDnw8-nzx-X8TtRew==&uniplatform=NZKPT&language=CHS
基层人民法院参与乡村振兴的法理学分析,2025,2025.07.28,1.广西师范大学法学院;2.广西师范大学广西地方法治与地方治理研究中心,郭剑平,基层人民法院参与乡村振兴的法理学分析,西南民族大学学报(人文社会科学版) ,No.06,F323;D926.2,[66-76],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kckCZ7p5lUkHE7ADOS1cgNx_D8aohRcqmGtR5rXBAMCEi6tcxkHtnzRHvn3USesmHdtXkndrUEueMYqNbXkdpSMF8vHXQDCjX9cQb2oFvzU-Y19EvxPAv0oNEN-yv1Hjp7yP2XCetFl4iUC-lQBiMzLurqqgjtYY03gnZiTFXYkxg==&uniplatform=NZKPT&language=CHS
就业市场存在名校光环吗——基于雇主学习的视角,2025,2024.12.27,1.江西财经大学数字经济学院/规制与竞争研究中心;2.北京师范大学统计学院,王岳龙;蔡玉龙,就业市场存在名校光环吗——基于雇主学习的视角,当代财经 ,No.06,G647.38;F249.2,[3-16],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcj2sgfc-C8uCoLDgtAomxLrh2fLYU1gysw7PVxebfI3D68yoO097yzN8ooawXlxXrIQnZnIjnuW8pBGDbKV3A1kwtq0Wspb51Uuj5i2FRZWoMaF3IIN-TuUCfkUhZsnv9iNc6PcVxK70REn5CgmO6OPnqtvNMdix2wbgIAlrTrRA==&uniplatform=NZKPT&language=CHS
防御性决策：与委托方效用最大化原则背离,2025,2024.01.25,1.中国科学院心理研究所;2.中国科学院大学心理学系;3.首都医科大学护理学院;4.杭州师范大学经亨颐教育学院;5.浙江大学心理与行为科学系,张淳;娜仁满都拉;季美华;耿晓伟;何贵兵,防御性决策：与委托方效用最大化原则背离,应用心理学 ,No.04,B842,[291-303],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kddqpksEXgT4GJUP31J_UbR1r7U5Hmg3c4J33bCF175pAM-07y2mUltmj6G42bEWnkprAMqADmlF12o812SzbWIt2XycJI0WndDhEigNFOFNC0xiPmkfiFnpnic3XxZ2L9d0b1Re-YWh3vfZsC2n9qp6LVfLn0vBdYUlueAKBkszQ==&uniplatform=NZKPT&language=CHS
文化生态视域下传统村落活态保护研究,2022,2022.05.09,中南民族大学公共管理学院,吴开松;郭倩,文化生态视域下传统村落活态保护研究,湖北民族大学学报(哲学社会科学版) ,No.03,D422.6;TU982.29,[114-124],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4ke6GcMCRNQx0qIvqk63DyeyqgQZEcmry9hpXQ-ARttIWVfJwtsTUK1XYifM85g6PNQaQ5D5cBBdmXLhhPNG_5mOxm5URVdx3c0E69TtxiSG_60UYX3i7NIfMrO5K5HVxcK3MHnxieYxlj2AvcuOFCFKDSsh8FzE5c0Vxy04-OuJvA==&uniplatform=NZKPT&language=CHS
双相障碍患者的风险决策偏好： 来自三水平元分析的证据,2025,2024.11.25,1.浙江大学心理与行为科学系;2.杭州师范大学经亨颐教育学院,陆嘉琦;李雨斯;何贵兵,双相障碍患者的风险决策偏好：来自三水平元分析的证据,心理学报 ,No.01,R749.4,[100-134],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kc8nCGv1eegEGB57LGFeY_cTFncIhkKzvVCbBfXJtcD8fhL0Am0B81BA3ZtNzEVpr6WgUz42ixziSBNnHl4v1C7mR9H546gAx-hAr7NmFI_rM2Nm2sjTpLeVDJifZfn2maTFOZ2acqwObD7uny5JbgQZl5Nmbhax2FFJCH8cp6lJA==&uniplatform=NZKPT&language=CHS
绿色发展视域下城市文化治理的策略与路径,2021,2021.05.20,北京航空航天大学公共管理学院,蔡劲松;刘建新,绿色发展视域下城市文化治理的策略与路径,城市发展研究 ,No.04,G120,[6-9],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4keWWC-ReRQDEtNeKyYJq5qY0sye32cIgfDV3Yf31milxbGNLB-zoKQeeN5E5XCp-TT8grMaq7TOLnJF0O28-VBBfo5jFZwvz2XFe2ZAlg8tQye1MdvP_VUkT1OcAn9-HaelRl-xSV3Ln7HGPSHb6IHNxmAG8Rt6jkP_LtAGTC8hYw==&uniplatform=NZKPT&language=CHS
北斗卫星导航系统的扩散特征与创新代理路径研究,2021,2021.09.23,清华大学新闻与传播学院,高泽晋,北斗卫星导航系统的扩散特征与创新代理路径研究,中国科技论坛 ,No.09,TN967.1,[10-19],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4ke1W82jim__pldyTOqbH4dFjaMnraGTvJMzODYa6IwZwYM9JCvF6oU20ZUe-L5tSFgT4d9x2Tc9_5hambiU5oM2PxV2m9GtqigGgQcgl9oK3gecWxSoY6vs1UpRR8DjTMVQMvM_AYNSA91Galq1VqxSMnU0y37VTlMjVGU3Kn7WZw==&uniplatform=NZKPT&language=CHS
我国城市洪涝灾害治理政策的特征与效力研究,2022,2022.12.23,北京航空航天大学公共管理学院,胡象明;邹彤彤,我国城市洪涝灾害治理政策的特征与效力研究,广州大学学报(社会科学版) ,No.06,D632.5;TU998.4,[119-130],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdMlyFmnMPNv0X5uwkl_HY8xgBSaQqEeNtef2b9kMzac2mhcGi13eFX39bhSHP_XLMhM_6sZp4vC06LyGzsZwf6fc-WGXOuqAwTXEv1YJeFg6-K9lcs90q9n0d48QaLGqtmUxSn9j6RLnXg7W5V5fUX1GeSmcVHJ100kRdX7HEjQA==&uniplatform=NZKPT&language=CHS
低空经济的内涵、特征和运行模式,2025,2024.07.09,北京航空航天大学公共管理学院,沈映春,低空经济的内涵、特征和运行模式,新疆师范大学学报(哲学社会科学版) ,No.01,F562;F426.5,[108-117],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfiWTHmnLNAIS9xDnzEnfQ0Sqx22JmVy7Pm7Grvc73SQjiOVedK1_cNIyRHGXE_OkkciJRyV8U_4waGiZ8wNotq8IuUk09WNG5qp8l3s6STpEOhPiFsshJ8DlLeEpnmaZamZs3pc7xqKAI8fkGtDtXPwsgcrjHenbuFGblU5kR7nQ==&uniplatform=NZKPT&language=CHS
斯密的道德哲学戏剧,2021,2021.06.05,,康子兴,斯密的道德哲学戏剧,读书 ,No.06,B82-056,[112-120],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdR9IzokcsscSHVJpsGaNPswhx9I6wU1Ef2FB4cSDUdoc28JreLNyv_8swnSKp0aSVYVGK-gjlD9Zpol0DlQLdxfElFjYDGLmTnwdeSbzUAjKL75oBAv7Yc3dWuZMGUBUP9i0AcbOxodw4PQy4_A0Ewx9ipmD3UbRu6SnUKsXaQTw==&uniplatform=NZKPT&language=CHS
幸存者的写作——2019年意大利文学综论,2020,2020.08.18,北京航空航天大学人文与社会科学高等研究院,陈绮,幸存者的写作——2019年意大利文学综论,外国文学动态研究 ,No.04,I546.06,[82-89],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdjaC4SgpwKuUHAduZZbOzl1LJROR8JyYzIg41NOp3xI_y7GZdPxHZnjaEFV9jMe_wbuiTWZJDt9LEEhJZV9GYDtA2HQUGe2MVn1JnLXEcObLBysfHtvWijsoe9wrNxxRnfTbQ8-C9C0RhRu_mcufbr9XfDmtOSIx09Bn6ELF5Xjg==&uniplatform=NZKPT&language=CHS
广西瑶族舞蹈服饰文化意蕴研究,2020,2020.11.25,东北师范大学美术学院,张逸;孟庆凯,广西瑶族舞蹈服饰文化意蕴研究,北京舞蹈学院学报 ,No.04,TS941.12,[70-75],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcGvOH1d2N1myXEJLPl3pGdBVQ6yD92HwWxpsNSLeyvWU8RlhShESwQ1J7zP3_Ku6O3j90q_b_WYqiKSWH4OO3gcJLnCuFuypmmMJOQmncj08e3lYVEINgL5adqmiiQDLp4LX4FlONebQMbYIe5mC8YxJtAVIJfToZqKaRZn6Cjng==&uniplatform=NZKPT&language=CHS
变迁与认同：涵化视野下金秀盘瑶女性头饰研究,2021,2022.01.10,广西师范大学设计学院,刘世军;李朝阳,变迁与认同：涵化视野下金秀盘瑶女性头饰研究,装饰 ,No.10,TS941.12,[116-118],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4keIWhEy6rYDETvQWHY2Mv0Po_z4c7kg7n7LUK3FI26vkxHU4fiue5cxiEFiOIWxVs5v2EFofMGATAJ9X7AD7H0wK_pPOVmn-BhEl834bWeV7I9QsSO80kB3D6QeUFx3l49557NdlA88THKBC3kawZADXaNCURNSHgy8fLSLv5ZokA==&uniplatform=NZKPT&language=CHS
纪检监察学学科发展：历程回顾、理论分析与对策建议,2023,2023.10.27,北京航空航天大学公共管理学院,任建明,纪检监察学学科发展：历程回顾、理论分析与对策建议,广州大学学报(社会科学版) ,No.06,D262.6-4;G642,[5-15],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfrJkY9-HEjkezoMw1p6sb2ojBDSa5O3BFibOjvfg1ryyf_K_6nOekRIF7wxA6tdgRcngJwbfVSBcCwED8YKgEl2zJuljdghi9SPbXbch-gGpWyVCZVNBzRE9-JbjGBUUjozrsatfwKuxnQRN4GuzGJAdE0rWm-L2A3rpx659VvNg==&uniplatform=NZKPT&language=CHS
乡村基层社会治理共同体主体自觉的培育,查看该刊,2024.01.15,西安建筑科技大学公共管理学院/西北乡村振兴研究中心,王文彬,乡村基层社会治理共同体主体自觉的培育 网络首发,中南民族大学学报(人文社会科学版) ,,D422.6,[未披露],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdk-fKewMeL94CiWqTjjtBKIUd7XaKxFoHkrGKxS1QR2JVnxCYJ_e2YbsinZ_vUnapnQR-kQNMDLcucItdKQYizCQ2uikQXXiTI1Aioo8F7w4d1pzqowmdA-OZytpv8olNK_idtNIbPmurZ3mWGDWNklVizpgltUQPLZYMWl0wx2Q==&uniplatform=NZKPT&language=CHS
组织关系重建:新型农村集体经济共同体的生成过程与形塑机制——基于“国企带镇村”的调查,查看该刊,2025.07.11,西安建筑科技大学公共管理学院,李博;任雨乐,组织关系重建:新型农村集体经济共同体的生成过程与形塑机制——基于“国企带镇村”的调查 网络首发,西北农林科技大学学报(社会科学版) ,,F321.32;F276.1,[未披露],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdszvtMRe73DPorgn_9IlIumEPSITXLHxZC9xRCyI-BRQ3oGMdYhhfD0ebVpGfMkr2qH0oMJRdDAfHHeKA_keiaNTAiR-kwkXPdINifScsqHSqlqZosgtbUlhlMFzU3gb1sCSKT4htaSJ9nMRIAJJaBqLb7PiJ3edoGB8cl9VR5vA==&uniplatform=NZKPT&language=CHS
融合边界特征与注意力序列结构的传统技艺实体识别研究,查看该刊,2025.02.07,西安建筑科技大学管理学院,张新生;李江;王明虎,融合边界特征与注意力序列结构的传统技艺实体识别研究 网络首发,数据分析与知识发现 ,,J0-05;TP391.1,[未披露],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kej73aMXDbOa450bB4KxvL9HFjVrfkUHVEerFgIynIW2vxzenn4eGejTPtc0Ab1nkCziBub-nuk0t33my1OH5PpBBXJtFS3U6wDjEQxQfPCv02TTRvo72gVsB9vuOgkGxWTxC7Dd4_9poKaNjKJvosDP56l6wBfID4EjziOz21R-Q==&uniplatform=NZKPT&language=CHS
法律与自由主义技术伦理的嬗变,2021,2021.03.05,,余成峰,法律与自由主义技术伦理的嬗变,读书 ,No.03,D90,[62-71],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdFpvql7Gc36bPNPlJkmVzFx9fgYIlAKcLxYFK9i34lUf-TYanweLP33BjRJRUKCDtydlGVzVuO_jP08nKMvhH1fn8n51PJIumgT4reIA3j7NAjjjNBR6SsQ1eSGXaxT_FwecuyVeTxfjUZuHcDboxtePHXsyQeHs_U4a_dKzmGGw==&uniplatform=NZKPT&language=CHS
中国城市治理转型的理论探索与研究展望,2025,2025.07.03,1.西安建筑科技大学中国城乡建设与文化传承研究院;2.南京大学建筑与城市规划学院;3.南京邮电大学高质量发展评价研究院,杨凌凡;罗小龙;李小龙;唐蜜;方鹏飞,中国城市治理转型的理论探索与研究展望,地理学报 ,No.08,D630,[2072-2087],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcq0L5arnnqloPHfhSUoEGFDw5R62LnXXh_qws96RII7Y8NUTHwsbhITUQBVO0KZRxUexZCcYvpssmDCUGR1JlUmKICCMArXNeAPcUaUjIZDpKb-kl3Jr5mW-PgegQvgL8RAOGpJs3Ubb4P45ESVHOlshPasSE3azbG8bvP5qoPhg==&uniplatform=NZKPT&language=CHS
明清时期贺兰山环境变迁与区域社会研究,2022,2022.04.01,西安建筑科技大学中国城乡建设与文化传承研究院,徐冉,明清时期贺兰山环境变迁与区域社会研究,中国经济史研究 ,No.01,X321;K248,[2],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kes4aILzLrVzE9JCbXnUdxYJB4PYDES25Viy3QiwgEe7a1WKy5l75DDqmss_Q0IM3vO7BrxNdoaOWOeVF5zMmvIsnpkkAY1w2HJB-3m2z0QNwcF1-FjNluz7tS-toFO6y6tiVsBXaoKncKSfIbwNt67P_4seHr3f9TJ3a4CNIqrCw==&uniplatform=NZKPT&language=CHS
